ratio,metric,value
0.0,precision:deposit,0.5714285714285714
0.0,recall:deposit,0.5857740585774058
0.0,f1:deposit,0.5785123966942148
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.8742236024844721
0.0,recall:discontinuity,0.946218487394958
0.0,f1:discontinuity,0.9087974172719935
0.0,support:discontinuity,595.0
0.0,precision:pore,0.52
0.0,recall:pore,0.21311475409836064
0.0,f1:pore,0.3023255813953488
0.0,support:pore,61.0
0.0,precision:stain,0.8359941944847605
0.0,recall:stain,0.8135593220338984
0.0,f1:stain,0.8246241947029348
0.0,support:stain,708.0
0.0,accuracy,0.8059887710542732
0.0,macro_f1,0.653564897516123
0.0,weighted_f1,0.7992980139747646
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6083333333333333
0.25,recall:deposit,0.6108786610878661
0.25,f1:deposit,0.6096033402922756
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9023569023569024
0.25,recall:discontinuity,0.9008403361344538
0.25,f1:discontinuity,0.9015979814970564
0.25,support:discontinuity,595.0
0.25,precision:pore,0.5576923076923077
0.25,recall:pore,0.47540983606557374
0.25,f1:pore,0.5132743362831858
0.25,support:pore,61.0
0.25,precision:stain,0.8117154811715481
0.25,recall:stain,0.8220338983050848
0.25,f1:stain,0.8168421052631579
0.25,support:stain,708.0
0.25,accuracy,0.8066126013724267
0.25,macro_f1,0.7103294408339189
0.25,weighted_f1,0.8058514924268201
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.6386861313868614
0.5,recall:deposit,0.7322175732217573
0.5,f1:deposit,0.682261208576998
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.8093883357041252
0.5,recall:discontinuity,0.9563025210084034
0.5,f1:discontinuity,0.8767334360554698
0.5,support:discontinuity,595.0
0.5,precision:pore,0.5
0.5,recall:pore,0.2459016393442623
0.5,f1:pore,0.32967032967032966
0.5,support:pore,61.0
0.5,precision:stain,0.87751677852349
0.5,recall:stain,0.7387005649717514
0.5,f1:stain,0.8021472392638037
0.5,support:stain,708.0
0.5,accuracy,0.7997504678727386
0.5,macro_f1,0.6727030533916503
0.5,weighted_f1,0.7939781402442733
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.8421052631578947
0.75,recall:deposit,0.33472803347280333
0.75,f1:deposit,0.47904191616766467
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9420035149384886
0.75,recall:discontinuity,0.9008403361344538
0.75,f1:discontinuity,0.9209621993127147
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6206896551724138
0.75,recall:pore,0.29508196721311475
0.75,f1:pore,0.4
0.75,support:pore,61.0
0.75,precision:stain,0.7285714285714285
0.75,recall:stain,0.9364406779661016
0.75,f1:stain,0.8195302843016068
0.75,support:stain,708.0
0.75,accuracy,0.8091079226450405
0.75,macro_f1,0.6548835999454965
0.75,weighted_f1,0.7904497615974265
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.6180555555555556
1.0,recall:deposit,0.7447698744769874
1.0,f1:deposit,0.6755218216318787
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.8438438438438438
1.0,recall:discontinuity,0.9445378151260504
1.0,f1:discontinuity,0.8913560666137985
1.0,support:discontinuity,595.0
1.0,precision:pore,0.6470588235294118
1.0,recall:pore,0.18032786885245902
1.0,f1:pore,0.2820512820512821
1.0,support:pore,61.0
1.0,precision:stain,0.8417721518987342
1.0,recall:stain,0.751412429378531
1.0,f1:stain,0.7940298507462686
1.0,support:stain,708.0
1.0,accuracy,0.8003742981908921
1.0,macro_f1,0.660739755260807
1.0,weighted_f1,0.793003641633634
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
