epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.042730,0.047565,0.165681,0.090842,2.260193,0.054236,0.035759,nan,1.000e-03,36.8
2,0.059000,0.036624,0.044803,0.148030,0.075013,2.001213,0.078696,0.055426,nan,1.000e-03,22.9
3,0.059000,0.035329,0.045031,0.151005,0.041814,2.003210,0.070454,0.045161,nan,1.000e-03,22.5
4,0.059000,0.034445,0.053877,0.149156,0.055714,1.996196,0.050089,0.031641,nan,1.000e-03,22.7
5,0.059000,0.035250,0.054313,0.153991,0.077159,2.013677,0.066571,0.043516,216.9967,1.000e-03,32.1
6,0.059000,0.034144,0.059783,0.152265,0.071434,2.011307,0.057196,0.035427,nan,1.000e-03,22.2
7,0.059000,0.031444,0.062703,0.147558,0.049116,2.001243,0.065520,0.040674,nan,1.000e-03,21.2
8,0.059000,0.029539,0.063514,0.147320,0.032539,2.003100,0.045045,0.026487,nan,1.000e-03,21.5
9,0.059000,0.030032,0.064166,0.146685,0.040063,2.007006,0.048622,0.029737,nan,1.000e-03,21.9
10,0.059000,0.029623,0.064360,0.143614,0.062426,2.006596,0.043178,0.024938,224.7529,1.000e-03,32.5
11,0.059000,0.029190,0.060637,0.139720,0.027721,1.996356,0.052887,0.033399,nan,1.000e-03,22.0
12,0.059000,0.028878,0.063444,0.137787,0.070499,1.999916,0.052349,0.031552,nan,1.000e-03,21.1
13,0.059000,0.030285,0.068752,0.143047,0.037247,1.995886,0.044923,0.026080,nan,1.000e-03,21.7
14,0.059000,0.029114,0.069402,0.142862,0.048287,2.002071,0.050494,0.030190,nan,1.000e-03,21.5
15,0.059000,0.029604,0.077015,0.150710,0.078437,1.999247,0.046394,0.024924,212.2197,1.000e-03,31.5
16,0.059000,0.027154,0.074585,0.139431,0.025836,2.000284,0.044047,0.024181,nan,1.000e-03,22.1
17,0.059000,0.030679,0.073895,0.145168,0.043681,1.997452,0.042973,0.024480,nan,1.000e-03,21.4
18,0.059000,0.030108,0.071523,0.149684,0.070850,1.980448,0.045531,0.024492,nan,1.000e-03,21.5
19,0.059000,0.029929,0.074905,0.149230,0.029307,2.017160,0.043045,0.023216,nan,1.000e-03,21.7
20,0.059000,0.028218,0.069264,0.150539,0.062171,1.992779,0.045907,0.025554,187.6706,1.000e-03,34.1
21,0.059000,0.027724,0.075186,0.143983,0.038440,1.996280,0.047498,0.027964,nan,1.000e-03,21.8
22,0.059000,0.027084,0.072183,0.143637,0.036229,1.997759,0.040086,0.021364,nan,1.000e-03,22.0
23,0.059000,0.026892,0.076975,0.141543,0.013767,1.997620,0.050939,0.029762,nan,1.000e-03,21.8
24,0.059000,0.028990,0.070684,0.146411,0.074742,1.992449,0.044515,0.023809,nan,1.000e-03,21.6
25,0.059000,0.028296,0.070823,0.146238,0.045025,1.996932,0.039322,0.020908,197.9285,1.000e-03,32.8
26,0.059000,0.027825,0.071952,0.143689,0.033567,1.997006,0.052693,0.032971,nan,1.000e-03,22.1
27,0.059000,0.029030,0.069667,0.151396,0.041378,2.007237,0.067113,0.043406,nan,1.000e-03,21.6
28,0.059000,0.027895,0.077883,0.146994,0.076389,2.002111,0.041580,0.022438,nan,1.000e-03,21.6
29,0.059000,0.027140,0.068638,0.147517,0.043235,1.989909,0.056497,0.034002,nan,1.000e-03,21.7
30,0.059000,0.036516,0.072119,0.174215,0.091918,2.052328,0.046753,0.024884,253.5606,1.000e-03,31.3
31,0.059000,0.030387,0.073260,0.161944,0.052656,2.006369,0.041199,0.021097,nan,1.000e-03,21.9
