ratio,metric,value
0.0,precision:deposit,0.7962962962962963
0.0,recall:deposit,0.5397489539748954
0.0,f1:deposit,0.6433915211970075
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9423728813559322
0.0,recall:discontinuity,0.934453781512605
0.0,f1:discontinuity,0.9383966244725739
0.0,support:discontinuity,595.0
0.0,precision:pore,0.6333333333333333
0.0,recall:pore,0.3114754098360656
0.0,f1:pore,0.4175824175824176
0.0,support:pore,61.0
0.0,precision:stain,0.8014616321559074
0.0,recall:stain,0.9293785310734464
0.0,f1:stain,0.8606932635709614
0.0,support:stain,708.0
0.0,accuracy,0.8496568933250156
0.0,macro_f1,0.7150159567057401
0.0,weighted_f1,0.8402744374348313
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.7668393782383419
0.25,recall:deposit,0.6192468619246861
0.25,f1:deposit,0.6851851851851851
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9675675675675676
0.25,recall:discontinuity,0.9025210084033614
0.25,f1:discontinuity,0.9339130434782609
0.25,support:discontinuity,595.0
0.25,precision:pore,0.6285714285714286
0.25,recall:pore,0.36065573770491804
0.25,f1:pore,0.45833333333333337
0.25,support:pore,61.0
0.25,precision:stain,0.802439024390244
0.25,recall:stain,0.9293785310734464
0.25,f1:stain,0.8612565445026179
0.25,support:stain,708.0
0.25,accuracy,0.851528384279476
0.25,macro_f1,0.7346720266248494
0.25,weighted_f1,0.8466409775234006
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7586206896551724
0.5,recall:deposit,0.6443514644351465
0.5,f1:deposit,0.6968325791855203
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9607142857142857
0.5,recall:discontinuity,0.9042016806722689
0.5,f1:discontinuity,0.9316017316017317
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6060606060606061
0.5,recall:pore,0.32786885245901637
0.5,f1:pore,0.42553191489361697
0.5,support:pore,61.0
0.5,precision:stain,0.8066914498141264
0.5,recall:stain,0.9194915254237288
0.5,f1:stain,0.8594059405940594
0.5,support:stain,708.0
0.5,accuracy,0.8502807236431691
0.5,macro_f1,0.728343041568732
0.5,weighted_f1,0.8454540670477071
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7715736040609137
0.75,recall:deposit,0.6359832635983264
0.75,f1:deposit,0.6972477064220183
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9560632688927944
0.75,recall:discontinuity,0.9142857142857143
0.75,f1:discontinuity,0.9347079037800686
0.75,support:discontinuity,595.0
0.75,precision:pore,0.5806451612903226
0.75,recall:pore,0.29508196721311475
0.75,f1:pore,0.391304347826087
0.75,support:pore,61.0
0.75,precision:stain,0.8089330024813896
0.75,recall:stain,0.9209039548022598
0.75,f1:stain,0.8612945838837517
0.75,support:stain,708.0
0.75,accuracy,0.8521522145976295
0.75,macro_f1,0.7211386354779814
0.75,weighted_f1,0.8462005834005557
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7213930348258707
1.0,recall:deposit,0.606694560669456
1.0,f1:deposit,0.6590909090909091
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9661654135338346
1.0,recall:discontinuity,0.8638655462184874
1.0,f1:discontinuity,0.912156166814552
1.0,support:discontinuity,595.0
1.0,precision:pore,0.4222222222222222
1.0,recall:pore,0.3114754098360656
1.0,f1:pore,0.35849056603773594
1.0,support:pore,61.0
1.0,precision:stain,0.7721212121212121
1.0,recall:stain,0.8997175141242938
1.0,f1:stain,0.8310502283105022
1.0,support:stain,708.0
1.0,accuracy,0.8203368683718029
1.0,macro_f1,0.6901969675634249
1.0,weighted_f1,0.817534081534325
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
