epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
56,0.059000,0.032848,0.080758,0.183713,0.016432,1.977107,0.049673,0.026184,nan,1.000e-03,22.3
57,0.059000,0.029536,0.081375,0.177407,0.044245,1.933799,0.046157,0.022702,nan,1.000e-03,21.6
58,0.059000,0.030946,0.080840,0.181896,0.076279,1.917289,0.080413,0.049041,nan,1.000e-03,20.9
59,0.059000,0.035961,0.092851,0.183694,0.088393,1.936010,0.045868,0.022334,nan,1.000e-03,20.6
60,0.059000,0.032599,0.078239,0.180977,0.079766,1.741598,0.051652,0.028257,167.0141,1.000e-03,30.3
61,0.059000,0.049903,0.106732,0.183810,0.094341,2.000656,0.049683,0.023934,nan,1.000e-03,20.6
62,0.059000,0.028617,0.080730,0.179366,0.032648,1.996717,0.043940,0.021425,nan,1.000e-03,20.5
63,0.059000,0.030252,0.082236,0.181711,0.038371,2.012272,0.056432,0.033025,nan,1.000e-03,20.5
64,0.059000,0.030152,0.082176,0.177921,0.081872,2.025356,0.049128,0.024746,nan,1.000e-03,20.6
65,0.059000,0.026173,0.080424,0.174637,0.033086,1.987469,0.049520,0.026061,163.8903,1.000e-03,30.2
66,0.059000,0.027211,0.081822,0.168803,0.070138,1.998655,0.044657,0.021280,nan,1.000e-03,21.1
67,0.059000,0.027561,0.078825,0.171071,0.064662,1.979242,0.052542,0.029346,nan,1.000e-03,20.5
68,0.059000,0.026218,0.079429,0.167253,0.070922,1.982775,0.060075,0.035329,nan,1.000e-03,20.6
69,0.059000,0.032109,0.100224,0.176698,0.056019,2.060750,0.048380,0.024984,nan,1.000e-03,20.6
70,0.059000,0.028184,0.082670,0.171854,0.051971,1.990653,0.055697,0.029828,168.2870,1.000e-03,30.3
