epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.081627,0.033049,0.227377,0.218984,1.512091,0.095184,0.070971,nan,1.000e-03,33.7
2,0.059000,0.081721,0.107874,0.237128,0.240045,1.031589,0.090329,0.049124,nan,1.000e-03,20.5
3,0.059000,0.073434,0.180389,0.250089,0.366400,0.442616,0.135482,0.096679,nan,1.000e-03,20.5
4,0.059000,0.085030,0.132306,0.267704,0.404465,0.436742,0.076438,0.051323,nan,1.000e-03,20.5
5,0.059000,0.086179,0.090077,0.243348,0.369312,0.612580,0.181467,0.148091,290.3037,1.000e-03,35.9
6,0.059000,0.070068,0.123116,0.230999,0.389491,0.480332,0.121180,0.075276,nan,1.000e-03,21.4
7,0.059000,0.097554,0.123944,0.275428,0.381767,0.488033,0.159484,0.124383,nan,1.000e-03,21.6
8,0.059000,0.070528,0.134345,0.242535,0.294460,0.656819,0.089507,0.061103,nan,1.000e-03,22.0
9,0.059000,0.061139,0.101603,0.223429,0.351305,0.478017,0.098025,0.069245,nan,1.000e-03,22.1
10,0.059000,0.070195,0.153415,0.222839,0.411049,0.517759,0.114068,0.078175,296.3654,1.000e-03,44.5
11,0.059000,0.060596,0.184755,0.219804,0.339176,0.469064,0.094638,0.060569,nan,1.000e-03,22.0
12,0.059000,0.064121,0.169408,0.242989,0.375563,0.448833,0.110009,0.072672,nan,1.000e-03,22.4
13,0.059000,0.071048,0.144877,0.256987,0.390580,0.467343,0.109030,0.067076,nan,1.000e-03,21.7
14,0.059000,0.081083,0.152336,0.260284,0.336363,0.776415,0.116635,0.068951,nan,1.000e-03,21.8
15,0.059000,0.061675,0.181391,0.219694,0.395824,0.425134,0.117695,0.087557,271.2914,1.000e-03,45.9
16,0.059000,0.078000,0.186921,0.245877,0.409896,0.637652,0.091350,0.067200,nan,1.000e-03,22.3
17,0.059000,0.069565,0.132380,0.233077,0.380825,0.500042,0.070840,0.046448,nan,1.000e-03,22.2
18,0.059000,0.057913,0.129356,0.220552,0.374912,0.564342,0.088186,0.056183,nan,1.000e-03,22.2
19,0.059000,0.056038,0.139393,0.230222,0.401159,0.575791,0.093247,0.061565,nan,1.000e-03,22.1
20,0.059000,0.072993,0.138278,0.245134,0.390010,0.662697,0.182897,0.146545,281.9989,1.000e-03,36.0
