ratio,metric,value
0.0,precision:deposit,0.7065217391304348
0.0,recall:deposit,0.5394190871369294
0.0,f1:deposit,0.6117647058823529
0.0,support:deposit,241.0
0.0,precision:discontinuity,0.9042735042735043
0.0,recall:discontinuity,0.8846153846153846
0.0,f1:discontinuity,0.8943364327979713
0.0,support:discontinuity,598.0
0.0,precision:pore,0.7368421052631579
0.0,recall:pore,0.45161290322580644
0.0,f1:pore,0.56
0.0,support:pore,62.0
0.0,precision:stain,0.7818627450980392
0.0,recall:stain,0.8836565096952909
0.0,f1:stain,0.8296488946684005
0.0,support:stain,722.0
0.0,accuracy,0.8163894023413432
0.0,macro_f1,0.7239375083371812
0.0,weighted_f1,0.8108287017137517
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.7123893805309734
0.25,recall:deposit,0.6680497925311203
0.25,f1:deposit,0.6895074946466809
0.25,support:deposit,241.0
0.25,precision:discontinuity,0.8765625
0.25,recall:discontinuity,0.9381270903010034
0.25,f1:discontinuity,0.9063004846526657
0.25,support:discontinuity,598.0
0.25,precision:pore,0.6486486486486487
0.25,recall:pore,0.3870967741935484
0.25,f1:pore,0.48484848484848475
0.25,support:pore,62.0
0.25,precision:stain,0.8347222222222223
0.25,recall:stain,0.832409972299169
0.25,f1:stain,0.8335644937586686
0.25,support:stain,722.0
0.25,accuracy,0.8299445471349353
0.25,macro_f1,0.728555239476625
0.25,weighted_f1,0.8256519818770849
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7670454545454546
0.5,recall:deposit,0.5601659751037344
0.5,f1:deposit,0.6474820143884892
0.5,support:deposit,241.0
0.5,precision:discontinuity,0.929701230228471
0.5,recall:discontinuity,0.8846153846153846
0.5,f1:discontinuity,0.9065981148243357
0.5,support:discontinuity,598.0
0.5,precision:pore,0.6
0.5,recall:pore,0.2903225806451613
0.5,f1:pore,0.3913043478260869
0.5,support:pore,62.0
0.5,precision:stain,0.7712264150943396
0.5,recall:stain,0.9058171745152355
0.5,f1:stain,0.8331210191082802
0.5,support:stain,722.0
0.5,accuracy,0.8231669747381393
0.5,macro_f1,0.6946263740367979
0.5,weighted_f1,0.8157505135514321
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7421052631578947
0.75,recall:deposit,0.5850622406639004
0.75,f1:deposit,0.654292343387471
0.75,support:deposit,241.0
0.75,precision:discontinuity,0.9299145299145299
0.75,recall:discontinuity,0.9096989966555183
0.75,f1:discontinuity,0.9196956889264581
0.75,support:discontinuity,598.0
0.75,precision:pore,0.8260869565217391
0.75,recall:pore,0.3064516129032258
0.75,f1:pore,0.44705882352941173
0.75,support:pore,62.0
0.75,precision:stain,0.7890909090909091
0.75,recall:stain,0.9016620498614959
0.75,f1:stain,0.8416289592760181
0.75,support:stain,722.0
0.75,accuracy,0.8348736906962415
0.75,macro_f1,0.7156689537798399
0.75,weighted_f1,0.827502299686082
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7149321266968326
1.0,recall:deposit,0.6556016597510373
1.0,f1:deposit,0.683982683982684
1.0,support:deposit,241.0
1.0,precision:discontinuity,0.9540441176470589
1.0,recall:discontinuity,0.8678929765886287
1.0,f1:discontinuity,0.9089316987740805
1.0,support:discontinuity,598.0
1.0,precision:pore,0.8148148148148148
1.0,recall:pore,0.3548387096774194
1.0,f1:pore,0.4943820224719101
1.0,support:pore,62.0
1.0,precision:stain,0.779783393501805
1.0,recall:stain,0.8975069252077562
1.0,f1:stain,0.8345138441725692
1.0,support:stain,722.0
1.0,accuracy,0.8299445471349353
1.0,macro_f1,0.7304525623503109
1.0,weighted_f1,0.8265875930946275
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
