epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.043698,0.051601,0.171792,0.126403,2.255858,0.077794,0.054597,nan,1.000e-03,35.5
2,0.059000,0.035114,0.038108,0.151223,0.111983,2.000015,0.056876,0.037057,nan,1.000e-03,21.6
3,0.059000,0.035894,0.041935,0.153695,0.016880,1.998581,0.056101,0.037750,nan,1.000e-03,21.0
4,0.059000,0.036667,0.053180,0.156468,0.056470,2.009637,0.091856,0.058423,nan,1.000e-03,21.2
5,0.059000,0.034927,0.050807,0.152266,0.036805,2.007709,0.068150,0.045803,235.5445,1.000e-03,37.8
6,0.059000,0.034240,0.054216,0.145966,0.036969,2.007598,0.066004,0.042172,nan,1.000e-03,21.9
7,0.059000,0.033131,0.057402,0.156911,0.049111,2.004363,0.073904,0.047917,nan,1.000e-03,22.7
8,0.059000,0.032356,0.060990,0.150227,0.044450,2.004145,0.048835,0.029742,nan,1.000e-03,22.0
9,0.059000,0.030620,0.059204,0.152315,0.034245,2.000955,0.043773,0.025728,nan,1.000e-03,22.2
10,0.059000,0.030938,0.067846,0.150915,0.045132,1.994138,0.048108,0.029859,205.7895,1.000e-03,31.5
11,0.059000,0.029095,0.070513,0.147274,-0.005839,2.001431,0.045102,0.024933,nan,1.000e-03,21.0
12,0.059000,0.043030,0.082987,0.180536,0.088727,2.043527,0.050750,0.028541,nan,1.000e-03,21.5
13,0.059000,0.030200,0.073048,0.167467,0.045937,2.008548,0.051830,0.029588,nan,1.000e-03,21.4
14,0.059000,0.027304,0.068572,0.157924,0.021063,2.003681,0.040025,0.020158,nan,1.000e-03,21.9
15,0.059000,0.027469,0.069324,0.157039,0.034300,1.997873,0.045938,0.025891,224.6924,1.000e-03,33.3
16,0.059000,0.026635,0.070940,0.157059,0.087219,2.003125,0.042628,0.022633,nan,1.000e-03,22.4
17,0.059000,0.027415,0.067431,0.155723,0.039939,1.998408,0.041440,0.021579,nan,1.000e-03,21.0
18,0.059000,0.027694,0.070661,0.155720,0.029455,1.996564,0.038282,0.019193,nan,1.000e-03,21.4
19,0.059000,0.033963,0.078145,0.169958,0.031757,1.968784,0.045803,0.023741,nan,1.000e-03,22.0
20,0.059000,0.028651,0.068146,0.167390,0.049762,2.004772,0.040906,0.020625,226.1877,1.000e-03,32.8
21,0.059000,0.026461,0.064555,0.152781,0.066162,1.997736,0.045972,0.025799,nan,1.000e-03,21.8
22,0.059000,0.026352,0.071951,0.153797,0.052561,1.997070,0.041164,0.020806,nan,1.000e-03,21.6
23,0.059000,0.028597,0.075051,0.152542,0.068167,2.005438,0.044645,0.024504,nan,1.000e-03,21.0
24,0.059000,0.026163,0.071175,0.154448,0.064316,2.002137,0.044916,0.024330,nan,1.000e-03,21.8
25,0.059000,0.027296,0.073744,0.151659,0.075636,1.999597,0.045951,0.025150,216.8215,1.000e-03,33.3
26,0.059000,0.028410,0.071810,0.152278,0.054502,2.005551,0.039864,0.020657,nan,1.000e-03,22.1
27,0.059000,0.026339,0.072916,0.144609,0.082094,2.003251,0.037942,0.019424,nan,1.000e-03,21.7
28,0.059000,0.025813,0.070041,0.150573,0.042379,1.996932,0.041887,0.022123,nan,1.000e-03,21.8
