epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
56,0.059000,0.101646,0.046592,0.240260,0.354269,0.364783,0.114116,0.091126,nan,1.000e-03,22.0
57,0.059000,0.105803,0.042317,0.250058,0.332380,0.460376,0.097267,0.075307,nan,1.000e-03,21.8
58,0.059000,0.093971,0.063311,0.238916,0.319413,0.488641,0.113802,0.086452,nan,1.000e-03,21.7
59,0.059000,0.078136,0.104621,0.228732,0.302391,0.493435,0.093839,0.066409,nan,1.000e-03,21.9
60,0.059000,0.074177,0.107240,0.228348,0.336159,0.407430,0.098802,0.069122,219.7034,1.000e-03,33.8
61,0.059000,0.090806,0.081816,0.243841,0.348096,0.321399,0.085032,0.055508,nan,1.000e-03,22.0
62,0.059000,0.066629,0.102018,0.229862,0.305482,0.414670,0.099578,0.068519,nan,1.000e-03,21.4
63,0.059000,0.097558,0.089747,0.254450,0.327981,0.460029,0.134721,0.103037,nan,1.000e-03,21.8
64,0.059000,0.086518,0.064459,0.265121,0.292480,0.338451,0.074957,0.047160,nan,1.000e-03,21.5
65,0.059000,0.072844,0.080928,0.244208,0.310695,0.407342,0.101633,0.071920,239.5624,1.000e-03,33.7
66,0.059000,0.073230,0.081289,0.232506,0.280059,0.526613,0.108181,0.082677,nan,1.000e-03,22.1
67,0.059000,0.065255,0.058582,0.225440,0.274465,0.598264,0.079028,0.052914,nan,1.000e-03,21.4
68,0.059000,0.071667,0.047215,0.226769,0.282342,0.762136,0.084459,0.060608,nan,1.000e-03,21.4
69,0.059000,0.062822,0.055241,0.240313,0.278922,0.493702,0.090628,0.063882,nan,1.000e-03,20.9
70,0.059000,0.065006,0.046842,0.230331,0.267386,0.361640,0.087063,0.061238,209.4824,1.000e-03,34.3
