ratio,metric,value
0.0,precision:deposit,0.860655737704918
0.0,recall:deposit,0.4393305439330544
0.0,f1:deposit,0.5817174515235457
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9346289752650176
0.0,recall:discontinuity,0.8890756302521008
0.0,f1:discontinuity,0.9112833763996555
0.0,support:discontinuity,595.0
0.0,precision:pore,0.8076923076923077
0.0,recall:pore,0.3442622950819672
0.0,f1:pore,0.4827586206896552
0.0,support:pore,61.0
0.0,precision:stain,0.7637795275590551
0.0,recall:stain,0.9590395480225988
0.0,f1:stain,0.8503443957420161
0.0,support:stain,708.0
0.0,accuracy,0.8321896444167186
0.0,macro_f1,0.7065259610887181
0.0,weighted_f1,0.8189246337612843
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6467661691542289
0.25,recall:deposit,0.5439330543933054
0.25,f1:deposit,0.5909090909090909
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.8894230769230769
0.25,recall:discontinuity,0.9327731092436975
0.25,f1:discontinuity,0.9105824446267432
0.25,support:discontinuity,595.0
0.25,precision:pore,0.8
0.25,recall:pore,0.06557377049180328
0.25,f1:pore,0.12121212121212123
0.25,support:pore,61.0
0.25,precision:stain,0.7826649417852523
0.25,recall:stain,0.8545197740112994
0.25,f1:stain,0.8170155300472653
0.25,support:stain,708.0
0.25,accuracy,0.8072364316905801
0.25,macro_f1,0.6099297966988052
0.25,weighted_f1,0.7915563081394811
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7391304347826086
0.5,recall:deposit,0.497907949790795
0.5,f1:deposit,0.595
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.772972972972973
0.5,recall:discontinuity,0.9613445378151261
0.5,f1:discontinuity,0.8569288389513108
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6923076923076923
0.5,recall:pore,0.14754098360655737
0.5,f1:pore,0.24324324324324326
0.5,support:pore,61.0
0.5,precision:stain,0.8127721335268505
0.5,recall:stain,0.7909604519774012
0.5,f1:stain,0.8017179670722978
0.5,support:stain,708.0
0.5,accuracy,0.7860262008733624
0.5,macro_f1,0.6242225123167129
0.5,weighted_f1,0.7701383766070209
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.8692307692307693
0.75,recall:deposit,0.47280334728033474
0.75,f1:deposit,0.6124661246612466
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.841079460269865
0.75,recall:discontinuity,0.9428571428571428
0.75,f1:discontinuity,0.8890649762282091
0.75,support:discontinuity,595.0
0.75,precision:pore,0.5714285714285714
0.75,recall:pore,0.45901639344262296
0.75,f1:pore,0.5090909090909091
0.75,support:pore,61.0
0.75,precision:stain,0.7859973579920739
0.75,recall:stain,0.8403954802259888
0.75,f1:stain,0.8122866894197953
0.75,support:stain,708.0
0.75,accuracy,0.8091079226450405
0.75,macro_f1,0.7057271748500401
0.75,weighted_f1,0.7994551379997399
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.8193548387096774
1.0,recall:deposit,0.5313807531380753
1.0,f1:deposit,0.6446700507614213
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.865414710485133
1.0,recall:discontinuity,0.9294117647058824
1.0,f1:discontinuity,0.8962722852512155
1.0,support:discontinuity,595.0
1.0,precision:pore,0.41025641025641024
1.0,recall:pore,0.5245901639344263
1.0,f1:pore,0.46043165467625896
1.0,support:pore,61.0
1.0,precision:stain,0.8180574555403557
1.0,recall:stain,0.844632768361582
1.0,f1:stain,0.8311327310632384
1.0,support:stain,708.0
1.0,accuracy,0.8172177167810356
1.0,macro_f1,0.7081266804380335
1.0,weighted_f1,0.8134039029223191
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
