epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.097658,0.022734,0.257601,0.262566,2.179416,0.121859,0.093208,nan,1.000e-03,36.1
2,0.059000,0.122102,0.057807,0.286635,0.358555,0.801227,0.153892,0.119354,nan,1.000e-03,21.6
3,0.059000,0.104459,0.190819,0.312375,0.452695,0.650602,0.133224,0.084424,nan,1.000e-03,21.0
4,0.059000,0.100282,0.087863,0.241202,0.358685,0.625716,0.164405,0.097087,nan,1.000e-03,21.1
5,0.059000,0.091068,0.019062,0.240214,0.307467,0.558332,0.102123,0.078612,319.7428,1.000e-03,33.5
6,0.059000,0.127606,0.134297,0.249184,0.300061,1.050463,0.138579,0.110959,nan,1.000e-03,21.9
7,0.059000,0.117240,0.013022,0.247288,0.327971,0.988439,0.134439,0.108536,nan,1.000e-03,20.8
8,0.059000,0.099339,0.093581,0.239635,0.262973,0.835630,0.114130,0.079504,nan,1.000e-03,21.4
9,0.059000,0.111623,0.129136,0.332460,0.288352,0.767646,0.136663,0.101363,nan,1.000e-03,22.1
10,0.059000,0.108685,0.130964,0.266682,0.293059,0.664953,0.167246,0.128462,274.0125,1.000e-03,32.7
11,0.059000,0.096049,0.142269,0.275232,0.305021,0.792857,0.101110,0.070819,nan,1.000e-03,21.1
12,0.059000,0.090069,0.113341,0.236630,0.256851,0.951472,0.108933,0.078402,nan,1.000e-03,21.6
13,0.059000,0.089920,0.149260,0.243466,0.328564,0.441842,0.105774,0.074545,nan,1.000e-03,21.2
14,0.059000,0.103697,0.077817,0.244592,0.277151,0.900683,0.111222,0.083759,nan,1.000e-03,21.2
15,0.059000,0.090547,0.108765,0.235863,0.309841,0.570134,0.097390,0.075186,275.5632,1.000e-03,31.6
16,0.059000,0.116455,0.054047,0.271425,0.350628,0.708049,0.128122,0.095579,nan,1.000e-03,21.8
17,0.059000,0.081971,0.080286,0.291371,0.267688,0.749258,0.125885,0.092231,nan,1.000e-03,21.0
18,0.059000,0.093690,0.058521,0.254128,0.299144,0.748122,0.081340,0.056129,nan,1.000e-03,20.7
19,0.059000,0.100297,0.063810,0.273790,0.302678,0.743955,0.132328,0.107893,nan,1.000e-03,21.7
20,0.059000,0.119922,0.039633,0.271181,0.303104,0.491992,0.118273,0.088701,287.3666,1.000e-03,31.9
21,0.059000,0.098970,0.118094,0.254637,0.330635,0.427617,0.094521,0.070235,nan,1.000e-03,21.5
22,0.059000,0.112060,0.040477,0.263615,0.338985,0.542122,0.114465,0.085233,nan,1.000e-03,21.2
23,0.059000,0.104758,0.033812,0.250705,0.295129,0.883274,0.110209,0.085033,nan,1.000e-03,20.9
24,0.059000,0.091378,0.099741,0.252920,0.292016,0.485852,0.099318,0.066426,nan,1.000e-03,21.2
25,0.059000,0.114634,0.041605,0.254447,0.297516,0.617888,0.114951,0.086130,246.0623,1.000e-03,36.2
26,0.059000,0.088000,0.075692,0.258850,0.291465,0.618434,0.120429,0.087992,nan,1.000e-03,21.7
27,0.059000,0.089043,0.096329,0.238050,0.296516,0.520801,0.105589,0.073410,nan,1.000e-03,21.2
28,0.059000,0.107270,0.084049,0.248024,0.314121,0.504449,0.125698,0.088123,nan,1.000e-03,21.0
29,0.059000,0.106489,0.067614,0.257841,0.283183,0.659058,0.093485,0.067923,nan,1.000e-03,21.2
30,0.059000,0.090845,0.064324,0.236297,0.296533,0.572794,0.111084,0.086704,242.3560,1.000e-03,31.8
31,0.059000,0.091281,0.083128,0.244777,0.271458,0.791135,0.110911,0.074909,nan,1.000e-03,21.3
32,0.059000,0.117445,0.073774,0.272898,0.347400,0.510509,0.140553,0.112611,nan,1.000e-03,21.3
33,0.059000,0.107486,0.034047,0.239701,0.299072,0.815436,0.148316,0.125594,nan,1.000e-03,20.9
34,0.059000,0.093048,0.060759,0.230665,0.272762,0.707923,0.123217,0.096146,nan,1.000e-03,20.9
35,0.059000,0.096403,0.056015,0.236880,0.307869,0.591825,0.119876,0.089337,248.2218,1.000e-03,31.3
36,0.059000,0.095056,0.074158,0.263316,0.299053,0.533081,0.111289,0.080651,nan,1.000e-03,21.9
37,0.059000,0.081039,0.096753,0.237810,0.272580,0.850662,0.095886,0.067834,nan,1.000e-03,21.1
38,0.059000,0.094921,0.039863,0.251697,0.289816,0.559190,0.111689,0.085926,nan,1.000e-03,20.9
39,0.059000,0.080464,0.091431,0.250750,0.277071,0.660032,0.089550,0.062269,nan,1.000e-03,21.8
40,0.059000,0.069965,0.087157,0.224844,0.235443,0.755432,0.089021,0.062533,224.8000,1.000e-03,35.0
41,0.059000,0.067073,0.065355,0.221117,0.221414,0.886900,0.105198,0.080393,nan,1.000e-03,21.8
42,0.059000,0.074623,0.086535,0.239736,0.232247,0.772141,0.089817,0.064757,nan,1.000e-03,22.3
43,0.059000,0.070797,0.059106,0.226506,0.257207,0.544807,0.094891,0.070756,nan,1.000e-03,22.0
44,0.059000,0.077033,0.073429,0.226920,0.251083,0.681848,0.080718,0.055432,nan,1.000e-03,21.9
45,0.059000,0.066055,0.065274,0.232169,0.219706,0.772942,0.078854,0.053766,234.4989,1.000e-03,33.3
46,0.059000,0.066072,0.058622,0.221145,0.217386,0.789195,0.083392,0.058528,nan,1.000e-03,22.0
47,0.059000,0.062053,0.065007,0.214582,0.193393,0.906556,0.081396,0.056351,nan,1.000e-03,22.3
48,0.059000,0.063004,0.048893,0.232145,0.272853,0.540429,0.093558,0.062998,nan,1.000e-03,21.1
49,0.059000,0.067148,0.074198,0.235020,0.249515,0.980889,0.094498,0.070392,nan,1.000e-03,21.3
50,0.059000,0.062707,0.062424,0.217823,0.223374,0.860013,0.084531,0.058734,212.4477,1.000e-03,32.0
51,0.059000,0.062067,0.057455,0.226257,0.215837,0.790169,0.087787,0.062260,nan,1.000e-03,21.5
52,0.059000,0.056828,0.063809,0.226452,0.222121,0.769975,0.087248,0.061249,nan,1.000e-03,21.8
53,0.059000,0.059728,0.072273,0.232969,0.292061,0.696134,0.078614,0.051628,nan,1.000e-03,21.4
54,0.059000,0.060946,0.073765,0.230829,0.264566,0.905454,0.083880,0.055195,nan,1.000e-03,21.8
55,0.059000,0.056576,0.070286,0.220164,0.173369,0.977550,0.077401,0.053093,171.5536,1.000e-03,32.1
56,0.059000,0.057602,0.078120,0.221179,0.257000,0.549705,0.072041,0.046043,nan,1.000e-03,21.8
57,0.059000,0.053469,0.074018,0.221624,0.228963,0.776744,0.066420,0.041503,nan,1.000e-03,21.7
58,0.059000,0.048942,0.069842,0.214408,0.189222,0.918460,0.074915,0.049679,nan,1.000e-03,21.6
59,0.059000,0.048218,0.079480,0.218670,0.193827,0.793655,0.104175,0.076170,nan,1.000e-03,21.2
60,0.059000,0.064417,0.069373,0.223057,0.220246,0.807694,0.087554,0.058119,200.3797,1.000e-03,33.6
61,0.059000,0.052056,0.070134,0.207109,0.201186,0.838445,0.109870,0.083065,nan,1.000e-03,21.9
62,0.059000,0.056750,0.092524,0.219662,0.237882,0.706376,0.082586,0.053878,nan,1.000e-03,21.3
63,0.059000,0.053741,0.089474,0.213404,0.249610,0.693104,0.072553,0.047185,nan,1.000e-03,21.0
64,0.059000,0.049454,0.084459,0.214355,0.286641,0.279920,0.071871,0.044811,nan,1.000e-03,21.0
65,0.059000,0.050156,0.115405,0.212925,0.290060,0.000700,0.077415,0.047965,266.9004,1.000e-03,32.5
66,0.059000,0.050295,0.163991,0.204702,0.314842,0.003230,0.084437,0.054888,nan,1.000e-03,21.7
67,0.059000,0.057515,0.125326,0.215892,0.366170,0.075617,0.082886,0.053464,nan,1.000e-03,21.6
68,0.059000,0.062639,0.092311,0.223166,0.315782,0.356101,0.075980,0.047163,nan,1.000e-03,21.4
69,0.059000,0.056621,0.106452,0.241837,0.298471,0.572042,0.065523,0.041547,nan,1.000e-03,21.1
70,0.059000,0.051138,0.096102,0.214047,0.265866,0.533713,0.082138,0.056600,178.0702,1.000e-03,32.2
