ratio,metric,value
0.0,precision:deposit,0.8300653594771242
0.0,recall:deposit,0.5313807531380753
0.0,f1:deposit,0.6479591836734694
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9461279461279462
0.0,recall:discontinuity,0.9445378151260504
0.0,f1:discontinuity,0.945332211942809
0.0,support:discontinuity,595.0
0.0,precision:pore,0.6333333333333333
0.0,recall:pore,0.3114754098360656
0.0,f1:pore,0.4175824175824176
0.0,support:pore,61.0
0.0,precision:stain,0.8062953995157385
0.0,recall:stain,0.940677966101695
0.0,f1:stain,0.8683181225554107
0.0,support:stain,708.0
0.0,accuracy,0.8571428571428571
0.0,macro_f1,0.7197979839385267
0.0,weighted_f1,0.8468974854932556
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.7305699481865285
0.25,recall:deposit,0.5899581589958159
0.25,f1:deposit,0.6527777777777778
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9207920792079208
0.25,recall:discontinuity,0.9378151260504202
0.25,f1:discontinuity,0.929225645295587
0.25,support:discontinuity,595.0
0.25,precision:pore,0.7586206896551724
0.25,recall:pore,0.36065573770491804
0.25,f1:pore,0.48888888888888893
0.25,support:pore,61.0
0.25,precision:stain,0.8090322580645162
0.25,recall:stain,0.885593220338983
0.25,f1:stain,0.8455832771409305
0.25,support:stain,708.0
0.25,accuracy,0.8409232688708671
0.25,macro_f1,0.7291188972757962
0.25,weighted_f1,0.8343096258750868
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7365853658536585
0.5,recall:deposit,0.6317991631799164
0.5,f1:deposit,0.6801801801801801
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9573712255772646
0.5,recall:discontinuity,0.9058823529411765
0.5,f1:discontinuity,0.9309153713298791
0.5,support:discontinuity,595.0
0.5,precision:pore,0.7333333333333333
0.5,recall:pore,0.36065573770491804
0.5,f1:pore,0.4835164835164835
0.5,support:pore,61.0
0.5,precision:stain,0.8124223602484472
0.5,recall:stain,0.923728813559322
0.5,f1:stain,0.8645076007931262
0.5,support:stain,708.0
0.5,accuracy,0.8521522145976295
0.5,macro_f1,0.7397799089549172
0.5,weighted_f1,0.8471762918654896
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.8181818181818182
0.75,recall:deposit,0.45188284518828453
0.75,f1:deposit,0.5822102425876011
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.96
0.75,recall:discontinuity,0.8067226890756303
0.75,f1:discontinuity,0.8767123287671232
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6206896551724138
0.75,recall:pore,0.29508196721311475
0.75,f1:pore,0.4
0.75,support:pore,61.0
0.75,precision:stain,0.7176220806794055
0.75,recall:stain,0.9548022598870056
0.75,f1:stain,0.8193939393939395
0.75,support:stain,708.0
0.75,accuracy,0.7997504678727386
0.75,macro_f1,0.6695791276871659
0.75,weighted_f1,0.7893468450940636
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7741935483870968
1.0,recall:deposit,0.602510460251046
1.0,f1:deposit,0.6776470588235295
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9443478260869566
1.0,recall:discontinuity,0.9126050420168067
1.0,f1:discontinuity,0.9282051282051281
1.0,support:discontinuity,595.0
1.0,precision:pore,0.6129032258064516
1.0,recall:pore,0.3114754098360656
1.0,f1:pore,0.41304347826086957
1.0,support:pore,61.0
1.0,precision:stain,0.7990135635018496
1.0,recall:stain,0.9152542372881356
1.0,f1:stain,0.8531928900592495
1.0,support:stain,708.0
1.0,accuracy,0.8446662507797879
1.0,macro_f1,0.7180221388371941
1.0,weighted_f1,0.838113485138326
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
